num_anions,num_cations,num_fillers,aver_a_elecneg,dev_a_elecneg,aver_c_elecneg,dev_c_elecneg,aver_f_elecneg,dev_f_elecneg,aver_a_ip,dev_a_ip,aver_c_ip,dev_c_ip,aver_f_ip,dev_f_ip,aver_a_ea,dev_a_ea,aver_c_ea,dev_c_ea,aver_f_ea,dev_f_ea,f_mass,total_mass,std_dev_f_mass,std_dev_a_mass,std_dev_c_mass,std_dev_f_frac,std_dev_a_frac,std_dev_c_frac,sum_f_frac,sum_a_frac,sum_c_frac,ratio_a_c,total_val_e,n_300,T,p_n,ZT
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,140.116,1824.616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,4.0,3.0,96.0,5.5e+21,300.0,0,0.096497875
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,140.116,1824.616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,4.0,3.0,96.0,5.5e+21,400.0,0,0.172318721
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,140.116,1824.616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,4.0,3.0,96.0,5.5e+21,500.0,0,0.272705236
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,140.116,1824.616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,4.0,3.0,96.0,5.5e+21,600.0,0,0.438738465
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,140.116,1824.616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,4.0,3.0,96.0,5.5e+21,700.0,0,0.713619726
1.0,1.0,1.0,2.05,0.0,1.83,0.0,1.12,0.0,8.608389,0.0,7.9024681,0.0,5.5386,0.0,1.04740119,0.0,0.15323634,0.0,0.572,0.0,140.116,1824.616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,4.0,3.0,96.0,5.5e+21,800.0,0,1.044935263
1.0,2.0,1.0,2.05,0.0,1.8362500000000002,0.016535945694153634,1.12,0.0,8.608389,0.0,7.8997858375,0.007096599525994471,5.5386,0.0,1.04740119,0.0,0.2168649225,0.16834540557055647,0.572,0.0,140.116,1826.1600970000002,0.0,0.0,2.18368291901961,0.0,0.0,2.1213203435596424,1.0,12.0,4.0,3.0,96.5,5.7e+21,300.0,0,0.116685083
1.0,2.0,1.0,2.05,0.0,1.8362500000000002,0.016535945694153634,1.12,0.0,8.608389,0.0,7.8997858375,0.007096599525994471,5.5386,0.0,1.04740119,0.0,0.2168649225,0.16834540557055647,0.572,0.0,140.116,1826.1600970000002,0.0,0.0,2.18368291901961,0.0,0.0,2.1213203435596424,1.0,12.0,4.0,3.0,96.5,5.7e+21,400.0,0,0.198186182
1.0,2.0,1.0,2.05,0.0,1.8362500000000002,0.016535945694153634,1.12,0.0,8.608389,0.0,7.8997858375,0.007096599525994471,5.5386,0.0,1.04740119,0.0,0.2168649225,0.16834540557055647,0.572,0.0,140.116,1826.1600970000002,0.0,0.0,2.18368291901961,0.0,0.0,2.1213203435596424,1.0,12.0,4.0,3.0,96.5,5.7e+21,500.0,0,0.331061402
1.0,2.0,1.0,2.05,0.0,1.8362500000000002,0.016535945694153634,1.12,0.0,8.608389,0.0,7.8997858375,0.007096599525994471,5.5386,0.0,1.04740119,0.0,0.2168649225,0.16834540557055647,0.572,0.0,140.116,1826.1600970000002,0.0,0.0,2.18368291901961,0.0,0.0,2.1213203435596424,1.0,12.0,4.0,3.0,96.5,5.7e+21,600.0,0,0.475370202
