a_comp_1,a_comp_2,a_comp_3,a_frac_1,a_frac_2,a_frac_3,c_comp_1,c_comp_2,c_comp_3,c_frac_1,c_frac_2,c_frac_3,f_comp_1,f_comp_2,f_comp_3,f_comp_4,f_comp_5,f_frac_1,f_frac_2,f_frac_3,f_frac_4,f_frac_5,n_300,T,p_n,ZT
Sb,Sn,Te,11,0.2,0.8,Co,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,312.5237192,1,0.164852608
Sb,Sn,Te,11,0.2,0.8,Co,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,393.3586338,1,0.354421769
Sb,Sn,Te,11,0.2,0.8,Co,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,492.4098672,1,0.671201814
Sb,Sn,Te,11,0.2,0.8,Co,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,592.5996205,1,0.903174603
Sb,Sn,Te,11,0.2,0.8,Co,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,699.6204934,1,1.075283447
Sb,0,0,12,0,0,Fe,Co,0,3.25,0.75,0,Ce,Yb,0,0,0,0.5,0.5,0,0,0,0,311.3851992,0,0.177324263
Sb,0,0,12,0,0,Fe,Co,0,3.25,0.75,0,Ce,Yb,0,0,0,0.5,0.5,0,0,0,0,395.6356736,0,0.297052154
Sb,0,0,12,0,0,Fe,Co,0,3.25,0.75,0,Ce,Yb,0,0,0,0.5,0.5,0,0,0,0,494.686907,0,0.461678005
Sb,0,0,12,0,0,Fe,Co,0,3.25,0.75,0,Ce,Yb,0,0,0,0.5,0.5,0,0,0,0,592.5996205,0,0.653741497
Sb,0,0,12,0,0,Fe,Co,0,3.25,0.75,0,Ce,Yb,0,0,0,0.5,0.5,0,0,0,0,713.2827324,0,0.84829932
Sb,0,0,12,0,0,Fe,Co,0,3.25,0.75,0,Ce,Yb,0,0,0,0.5,0.5,0,0,0,0,792.9791271,0,0.875736961
